time,baseline_effective_mass,gated_effective_mass,baseline_gap,gated_gap,baseline_chern,gated_chern,baseline_transition_margin,gated_transition_margin
3.5000,1.320593,1.247761,1.391414,1.527505,1,1,0.679407,0.752239
3.5500,1.319527,1.245934,1.393392,1.530942,1,1,0.680473,0.754066
3.6000,1.318498,1.244168,1.395302,1.534264,1,1,0.681502,0.755832
3.6500,1.317506,1.242464,1.397143,1.537471,1,1,0.682494,0.757536
3.7000,1.316552,1.240821,1.398916,1.540563,1,1,0.683448,0.759179
3.7500,1.315634,1.239241,1.400620,1.543540,1,1,0.684366,0.760759
3.8000,1.314753,1.237721,1.402256,1.546402,1,1,0.685247,0.762279
3.8500,1.313909,1.236263,1.403825,1.549148,1,1,0.686091,0.763737
3.9000,1.313100,1.234867,1.405327,1.551780,1,1,0.686900,0.765133
3.9500,1.312328,1.233531,1.406762,1.554297,1,1,0.687672,0.766469
4.0000,1.311590,1.232256,1.408132,1.556700,1,1,0.688410,0.767744
4.0500,1.310888,1.231042,1.409438,1.558989,1,1,0.689112,0.768958
4.1000,1.310220,1.229888,1.410680,1.561165,1,1,0.689780,0.770112
4.1500,1.309586,1.228794,1.411858,1.563229,1,1,0.690414,0.771206
4.2000,1.308986,1.227759,1.412975,1.565182,1,1,0.691014,0.772241
4.2500,1.308418,1.226782,1.414031,1.567024,1,1,0.691582,0.773218
4.3000,1.307882,1.225864,1.415028,1.568756,1,1,0.692118,0.774136
4.3500,1.307378,1.225004,1.415965,1.570380,1,1,0.692622,0.774996
4.4000,1.306905,1.224201,1.416846,1.571896,1,1,0.693095,0.775799
4.4500,1.306462,1.223454,1.417670,1.573305,1,1,0.693538,0.776546
4.5000,1.306049,1.222763,1.418439,1.574610,1,1,0.693951,0.777237
4.5500,1.305664,1.222127,1.419155,1.575810,1,1,0.694336,0.777873
4.6000,1.305308,1.221546,1.419819,1.576908,1,1,0.694692,0.778454
4.6500,1.304978,1.221018,1.420432,1.577904,1,1,0.695022,0.778982
4.7000,1.304675,1.220544,1.420995,1.578800,1,1,0.695325,0.779456
4.7500,1.304398,1.220121,1.421511,1.579598,1,1,0.695602,0.779879
4.8000,1.304146,1.219750,1.421981,1.580299,1,1,0.695854,0.780250
4.8500,1.303917,1.219430,1.422406,1.580904,1,1,0.696083,0.780570
4.9000,1.303712,1.219159,1.422788,1.581415,1,1,0.696288,0.780841
4.9500,1.303530,1.218937,1.423128,1.581834,1,1,0.696470,0.781063
5.0000,1.303369,1.218764,1.423428,1.582163,1,1,0.696631,0.781236
5.0500,1.303229,1.218637,1.423689,1.582402,1,1,0.696771,0.781363
5.1000,1.303108,1.218557,1.423913,1.582553,1,1,0.696892,0.781443
5.1500,1.303007,1.218522,1.424101,1.582619,1,1,0.696993,0.781478
5.2000,1.302924,1.218532,1.424255,1.582600,1,1,0.697076,0.781468
5.2500,1.302860,1.218586,1.424376,1.582498,1,1,0.697140,0.781414
5.3000,1.302815,1.218687,1.424459,1.582308,1,1,0.697185,0.781313
5.3500,1.302797,1.218841,1.424492,1.582017,1,1,0.697203,0.781159
5.4000,1.302834,1.219076,1.424423,1.581572,1,1,0.697166,0.780924
5.4500,1.303003,1.219471,1.424109,1.580826,1,1,0.696997,0.780529
5.5000,1.303493,1.220219,1.423197,1.579413,1,1,0.696507,0.779781
5.5500,1.304702,1.221729,1.420946,1.576561,1,1,0.695298,0.778271
5.6000,1.307303,1.224701,1.416106,1.570951,1,1,0.692697,0.775299
5.6500,1.312135,1.230036,1.407120,1.560886,1,1,0.687865,0.769964
5.7000,1.320141,1.238780,1.392253,1.544407,1,1,0.679859,0.761220
5.7500,1.335255,1.254889,1.364258,1.514108,1,1,0.664745,0.745111
5.8000,1.373255,1.293863,1.294312,1.441143,1,1,0.626745,0.706137
5.8500,1.446460,1.367900,1.161711,1.304127,1,1,0.553540,0.632100
5.9000,1.556446,1.478549,0.969985,1.104687,1,1,0.443554,0.521451
5.9500,1.677092,1.599561,0.777083,0.898366,1,1,0.322908,0.400439
6.0000,1.730592,1.653220,0.701197,0.813205,1,1,0.269408,0.346780
