time,mean_current,resolved_phase,epsilon_eff,slips,baseline_magnitude,gated_magnitude,baseline_entropy,gated_entropy,gated_alpha,gated_mu
2.6000,0.939242,0.820550,0.180000,0,1.718193,1.630285,0.953058,0.954637,1.017218,0.583135
2.6500,0.939207,0.834613,0.180000,0,1.715966,1.626286,0.953400,0.955035,1.016913,0.583389
2.7000,0.939170,0.848613,0.180000,0,1.713758,1.622334,0.953724,0.955415,1.016619,0.583632
2.7500,0.939132,0.862551,0.180000,0,1.711572,1.618433,0.954031,0.955778,1.016339,0.583865
2.8000,0.939093,0.876429,0.180000,0,1.709410,1.614586,0.954320,0.956123,1.016071,0.584086
2.8500,0.939053,0.890249,0.180000,0,1.707272,1.610793,0.954592,0.956450,1.015816,0.584297
2.9000,0.939013,0.904012,0.180000,0,1.705161,1.607059,0.954846,0.956759,1.015573,0.584497
2.9500,0.938972,0.917721,0.180000,0,1.703077,1.603384,0.955083,0.957051,1.015344,0.584686
3.0000,0.938932,0.931377,0.180000,0,1.701023,1.599770,0.955303,0.957325,1.015127,0.584864
3.0500,0.938892,0.944983,0.180000,0,1.698999,1.596220,0.955506,0.957582,1.014922,0.585032
3.1000,0.938852,0.958541,0.180000,0,1.697007,1.592734,0.955692,0.957821,1.014731,0.585189
3.1500,0.938813,0.972053,0.180000,0,1.695046,1.589314,0.955862,0.958042,1.014553,0.585335
3.2000,0.938776,0.985522,0.180000,0,1.693119,1.585962,0.956015,0.958246,1.014387,0.585470
3.2500,0.938739,0.998949,0.180000,0,1.691226,1.582679,0.956151,0.958433,1.014234,0.585595
3.3000,0.938704,1.012339,0.180000,0,1.689367,1.579465,0.956271,0.958602,1.014095,0.585709
3.3500,0.938671,1.025692,0.180000,0,1.687544,1.576322,0.956375,0.958754,1.013968,0.585812
3.4000,0.938639,1.039013,0.180000,0,1.685756,1.573250,0.956462,0.958888,1.013854,0.585905
3.4500,0.938610,1.052303,0.180000,0,1.684004,1.570250,0.956533,0.959006,1.013753,0.585987
3.5000,0.938583,1.065565,0.180000,0,1.682288,1.567323,0.956589,0.959105,1.013665,0.586059
3.5500,0.938559,1.078802,0.180000,0,1.680608,1.564469,0.956628,0.959188,1.013590,0.586120
3.6000,0.938538,1.092017,0.180000,0,1.678965,1.561688,0.956652,0.959253,1.013528,0.586170
3.6500,0.938519,1.105212,0.180000,0,1.677359,1.558981,0.956659,0.959301,1.013479,0.586210
3.7000,0.938503,1.118392,0.180000,0,1.675789,1.556348,0.956652,0.959332,1.013443,0.586239
3.7500,0.938490,1.131557,0.180000,0,1.674256,1.553789,0.956628,0.959345,1.013420,0.586258
3.8000,0.938480,1.144713,0.180000,0,1.672758,1.551304,0.956590,0.959342,1.013410,0.586267
3.8500,0.938474,1.157860,0.180000,0,1.671296,1.548893,0.956536,0.959321,1.013412,0.586265
